upc,price,quantity,internal_id,department,name,properties,tags
669576019245,21.39,.00000000,,WINE,Decoy Chard Chard 750ml,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
,0.0,.00000000,biz_id_1792,BEER,NSB Craigerator (6) 4 x 16oz C,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['low_margin']
680203019353,53.49,.00000000,,LIQUOR,Willett Bourbon Willett,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
686557533224,6.41,.00000000,,Soda,Hand sanitizer Fabrizia,"{""department"": ""Soda"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
6976915164486,10.69,.00000000,,WINE,Basso Chianti Poggio Basso,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
720815280137,53.49,.00000000,,LIQUOR,Single Grain Irish Whiskey,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
720815280236,58.84,.00000000,,LIQUOR,Single Malt Teeling,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
721059001298,42.79,.00000000,,LIQUOR,Espolon Anejo NULL,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
723830130067,11.76,.00000000,,BEER,Hazy wonder lagunitas,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
723830981645,11.76,.00000000,,BEER,Hazy Memory Lagunitas,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
735810690997,16.04,.00000000,,BEER,Hopulence Wormtown,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
736040537113,32.09,.00000000,,LIQUOR,Banhez Mezcal Mezcal,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
743041090073,18.18,.00000000,,BEER,Summer 12pk Wachusett,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
743041090127,18.52,.00000000,,BEER,IPA Mix Pack Wachusett,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
743041090233,18.52,.00000000,,BEER,Wachu Summer Mix Wachusett,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
743041090356,20.7,.00000000,,BEER,Wally Variety pk Wachusett,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
744607111317,39.58,.00000000,,LIQUOR,Silver herradura,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
752830259713,19.25,.00000000,,BEER,NSB Briar Weisse 4 x 16oz,"{""department"": ""BEER"", ""vendor"": ""6172944233"", ""description"": ""NULL""}",['high_margin']
754527000523,12.83,.00000000,,BEER,Trippel new Belgium,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
793866530025,13.07,.00000000,,BEER,Nitro Left Hand,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['low_margin']
8033540100314,16.04,.00000000,,WINE,castello di Radda Chianti Classico,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
810879020135,16.04,.00000000,,WINE,Iron Side Cab Cab,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
810879021385,1.07,.00000000,,LIQUOR,Steel Dust 50ml Vodka,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",['high_margin']
